"Kunde";"Bestelldatum";"Bestelldatum_Roh";"Bestellzeit";"Bestellnummer";"Zustelldatum";"Bestellübersicht";"Interne Tags"
"Burgerheart Nürnberg GmbH";"So., 02.11.25 13:44";"So., 02.11.25";"13:44";"11177-250036676";"Mo., 03.11.25";"26";""
"Santos-Tapas Bar KU-Depot";"So., 02.11.25 13:42";"So., 02.11.25";"13:42";"12293-250036675";"Di., 04.11.25";"2";""
"Ludwigs Bar & Café";"So., 02.11.25 13:40";"So., 02.11.25";"13:40";"13263-250036674";"Mo., 03.11.25";"12";""
"B&A Gastronomie GmbH (Bahama Bar)";"So., 02.11.25 13:34";"So., 02.11.25";"13:34";"10085-250036673";"Di., 04.11.25";"2";""
"Bahama Bar KU-Depot";"So., 02.11.25 13:33";"So., 02.11.25";"13:33";"12292-250036672";"Di., 04.11.25";"3";""
"Sanders GmbH";"So., 02.11.25 11:20";"So., 02.11.25";"11:20";"13179-250036671";"Mo., 03.11.25";"18";""
"Bäcker Feihl - Zollhausstraße";"So., 02.11.25 10:57";"So., 02.11.25";"10:57";"13790-250036670";"Di., 04.11.25";"13";""
"Arndt Reckler";"So., 02.11.25 10:35";"So., 02.11.25";"10:35";"13566-250036669";"Mo., 03.11.25";"2";""
"Annemarie Girg";"So., 02.11.25 10:16";"So., 02.11.25";"10:16";"13954-250036668";"Di., 04.11.25";"1";""
"Bäcker Feihl - Burgschmietstraße";"So., 02.11.25 08:20";"So., 02.11.25";"08:20";"13791-250036667";"Di., 04.11.25";"9";""
"HAUS 33 Entertainment GmbH";"So., 02.11.25 05:06";"So., 02.11.25";"05:06";"12703-250036666";"Do., 06.11.25";"18";""
"Ludwig Gastronomie Betriebs GmbH";"So., 02.11.25 01:04";"So., 02.11.25";"01:04";"12709-250036665";"Mo., 03.11.25";"2";""
"Ludwig Gastronomie Betriebs GmbH";"So., 02.11.25 01:02";"So., 02.11.25";"01:02";"12709-250036664";"Mo., 03.11.25";"18";""
"La Delizia";"Sa., 01.11.25 23:34";"Sa., 01.11.25";"23:34";"13074-250036663";"Di., 04.11.25";"4";""
"Mama Lucia GmbH & Co. KG";"Sa., 01.11.25 21:50";"Sa., 01.11.25";"21:50";"13011-250036662";"Mo., 03.11.25";"6";""
"Haus 80";"Sa., 01.11.25 21:44";"Sa., 01.11.25";"21:44";"13496-250036661";"Mo., 03.11.25";"19";""
"NaPizza Napoletana GbR Fürth";"Sa., 01.11.25 21:42";"Sa., 01.11.25";"21:42";"10436-250036660";"Mo., 03.11.25";"16";""
"Lucky‘s";"Sa., 01.11.25 21:26";"Sa., 01.11.25";"21:26";"12822-250036659";"Mo., 03.11.25";"10";""
"CAROMA";"Sa., 01.11.25 18:08";"Sa., 01.11.25";"18:08";"10819-250036658";"Mo., 03.11.25";"2";""
"Tapasitos Nürnberg GmbH";"Sa., 01.11.25 15:36";"Sa., 01.11.25";"15:36";"11059-250036657";"Mi., 05.11.25";"14";""
"ZweiSinn Meiers l Bistro l";"Sa., 01.11.25 14:52";"Sa., 01.11.25";"14:52";"10138-250036656";"Di., 04.11.25";"11";""
"Wirtshaus am Opernhaus GmbH";"Sa., 01.11.25 13:52";"Sa., 01.11.25";"13:52";"12101-250036655";"Mo., 03.11.25";"7";""
"Premier Inn Opernhaus";"Sa., 01.11.25 06:26";"Sa., 01.11.25";"06:26";"11680-250036654";"Mo., 03.11.25";"29";""
"Apotheke im Village";"Fr., 31.10.25 18:10";"Fr., 31.10.25";"18:10";"13182-250036653";"Mo., 03.11.25";"6";""
"Adina";"Fr., 31.10.25 16:51";"Fr., 31.10.25";"16:51";"10339-250036652";"Mo., 03.11.25";"1";""
"Adina";"Fr., 31.10.25 16:51";"Fr., 31.10.25";"16:51";"10339-250036651";"Mo., 03.11.25";"17";""
"ABF-Apotheke";"Fr., 31.10.25 16:13";"Fr., 31.10.25";"16:13";"12582-250036650";"Mo., 03.11.25";"2";""
"Serenity Events";"Fr., 31.10.25 15:41";"Fr., 31.10.25";"15:41";"14042-250036649";"Mo., 03.11.25";"9";""
"Bäcker Feihl - Deidesheimer Straße";"Fr., 31.10.25 15:34";"Fr., 31.10.25";"15:34";"13799-250036648";"Di., 04.11.25";"5";""
"Bäcker Feihl - Adamstraße";"Fr., 31.10.25 14:58";"Fr., 31.10.25";"14:58";"13796-250036647";"Di., 04.11.25";"7";""
"Lars Kampf";"Fr., 31.10.25 14:44";"Fr., 31.10.25";"14:44";"13961-250036646";"Do., 06.11.25";"7";""
"Girmscheid Steuerberatungsge-";"Fr., 31.10.25 14:02";"Fr., 31.10.25";"14:02";"10546-250036645";"Mo., 03.11.25";"5";""
"Fielmann";"Fr., 31.10.25 13:58";"Fr., 31.10.25";"13:58";"10675-250036644";"Di., 04.11.25";"6";""
"Bäcker Feihl -  Äußere Bayreuther Straße";"Fr., 31.10.25 13:56";"Fr., 31.10.25";"13:56";"13779-250036643";"Di., 04.11.25";"9";""
"Schreinerei Zachhuber";"Fr., 31.10.25 13:07";"Fr., 31.10.25";"13:07";"12512-250036642";"Mi., 05.11.25";"9";""
"Mahlzahn / Theater Mummpitz e. V.";"Fr., 31.10.25 12:59";"Fr., 31.10.25";"12:59";"13272-250036641";"Mo., 03.11.25";"12";""
"Theater Mummpitz e.V.";"Fr., 31.10.25 12:58";"Fr., 31.10.25";"12:58";"13887-250036640";"Mo., 03.11.25";"1";""
"Keepers and Cooks GmbH Event in Haus";"Fr., 31.10.25 12:01";"Fr., 31.10.25";"12:01";"12122-250036639";"Mo., 03.11.25";"11";""
"Keepers and Cooks GmbH Event in Haus";"Fr., 31.10.25 11:57";"Fr., 31.10.25";"11:57";"12122-250036638";"Mo., 03.11.25";"11";""
"Pares GmbH";"Fr., 31.10.25 11:56";"Fr., 31.10.25";"11:56";"14058-250036637";"Di., 04.11.25";"2";""
"Bäcker Feihl -  Dammstraße 1";"Fr., 31.10.25 11:54";"Fr., 31.10.25";"11:54";"13777-250036636";"Mo., 03.11.25";"8";""
"Pares GmbH";"Fr., 31.10.25 11:53";"Fr., 31.10.25";"11:53";"14058-250036635";"Di., 04.11.25";"84";""
"Regenzeit";"Fr., 31.10.25 11:49";"Fr., 31.10.25";"11:49";"13305-250036634";"Mo., 03.11.25";"32";""
"Holuc-Eat & Meet GmbH";"Fr., 31.10.25 10:43";"Fr., 31.10.25";"10:43";"14019-250036633";"Mo., 03.11.25";"1";""
"adesso SE";"Fr., 31.10.25 09:56";"Fr., 31.10.25";"09:56";"13204-250036632";"Mo., 03.11.25";"9";""
"Premier Inn Opernhaus";"Fr., 31.10.25 09:54";"Fr., 31.10.25";"09:54";"11680-250036631";"Mo., 03.11.25";"29";""
"Bäcker Feihl -  Happurger Straße";"Fr., 31.10.25 09:27";"Fr., 31.10.25";"09:27";"13774-250036630";"Di., 04.11.25";"6";""
"Siemens AG / IT DF EEP";"Fr., 31.10.25 09:24";"Fr., 31.10.25";"09:24";"12956-250036629";"Di., 04.11.25";"11";""
"CARE Vision Germany GmbH";"Fr., 31.10.25 08:40";"Fr., 31.10.25";"08:40";"10892-250036628";"Mo., 03.11.25";"3";""
"N-ERGIE Lichtblick";"Fr., 31.10.25 08:40";"Fr., 31.10.25";"08:40";"11576-250036627";"Di., 04.11.25";"2";""
"Caffé - Bar Centrale Constanti";"Fr., 31.10.25 07:13";"Fr., 31.10.25";"07:13";"10259-250036626";"Mo., 03.11.25";"6";""
"Mitte Soundbar";"Fr., 31.10.25 03:26";"Fr., 31.10.25";"03:26";"12000-250036625";"Fr., 31.10.25";"8";""
"Noon Mirch";"Fr., 31.10.25 03:04";"Fr., 31.10.25";"03:04";"12594-250036624";"Di., 04.11.25";"9";""
"KOKORO";"Fr., 31.10.25 02:59";"Fr., 31.10.25";"02:59";"10278-250036623";"Fr., 31.10.25";"10";""
"Bierwirtschaft Nordostbahnhof";"Fr., 31.10.25 01:20";"Fr., 31.10.25";"01:20";"12517-250036622";"Fr., 31.10.25";"6";""
"Die Rosi";"Fr., 31.10.25 01:05";"Fr., 31.10.25";"01:05";"12906-250036621";"Fr., 31.10.25";"1";""
"Die Rosi";"Fr., 31.10.25 00:26";"Fr., 31.10.25";"00:26";"12906-250036620";"Fr., 31.10.25";"1";""
"Napizza Napolenta GbR Nürnberg";"Fr., 31.10.25 00:26";"Fr., 31.10.25";"00:26";"11204-250036619";"Fr., 31.10.25";"27";""
"Tukase";"Fr., 31.10.25 00:24";"Fr., 31.10.25";"00:24";"12694-250036618";"Fr., 31.10.25";"8";""
"Die Rosi";"Fr., 31.10.25 00:09";"Fr., 31.10.25";"00:09";"12906-250036617";"Fr., 31.10.25";"3";""
"Rixx Lounge";"Fr., 31.10.25 00:03";"Fr., 31.10.25";"00:03";"11428-250036616";"Fr., 31.10.25";"10";""
"mach1 Club GmbH";"Do., 30.10.25 23:57";"Do., 30.10.25";"23:57";"11593-250036615";"Fr., 31.10.25";"17";""
"Die Rosi";"Do., 30.10.25 23:51";"Do., 30.10.25";"23:51";"12906-250036614";"Fr., 31.10.25";"1";""
"Die Rosi";"Do., 30.10.25 23:49";"Do., 30.10.25";"23:49";"12906-250036613";"Fr., 31.10.25";"2";""
"Holuc-Eat & Meet GmbH";"Do., 30.10.25 23:27";"Do., 30.10.25";"23:27";"14019-250036612";"Mo., 03.11.25";"2";""
"Original Berliner Döner Fürth";"Do., 30.10.25 23:19";"Do., 30.10.25";"23:19";"14030-250036611";"Fr., 31.10.25";"4";""
"Cozy Restaurant";"Do., 30.10.25 23:18";"Do., 30.10.25";"23:18";"12989-250036610";"Fr., 31.10.25";"36";""
"MOGGI Asian Kitchen & Bar GmbH";"Do., 30.10.25 23:15";"Do., 30.10.25";"23:15";"13092-250036609";"Fr., 31.10.25";"26";""
"H4 street food GmbH";"Do., 30.10.25 23:03";"Do., 30.10.25";"23:03";"13702-250036608";"Fr., 31.10.25";"15";""
"Essentials Café";"Do., 30.10.25 23:02";"Do., 30.10.25";"23:02";"13895-250036607";"Fr., 31.10.25";"2";""
"HENRII Gastronomie GmbH";"Do., 30.10.25 22:27";"Do., 30.10.25";"22:27";"11212-250036606";"Fr., 31.10.25";"4";""
"N9 Brinner GmbH";"Do., 30.10.25 22:26";"Do., 30.10.25";"22:26";"12692-250036605";"Fr., 31.10.25";"19";""
"A Boire Nürnberg";"Do., 30.10.25 22:26";"Do., 30.10.25";"22:26";"12821-250036604";"Fr., 31.10.25";"1";""
"Gelbes Haus Oliver Kirschner e.K. (Tafelhalle)";"Do., 30.10.25 22:24";"Do., 30.10.25";"22:24";"11972-250036603";"Fr., 31.10.25";"13";""
"BurgerBar Kuhmuhne GmbH";"Do., 30.10.25 21:57";"Do., 30.10.25";"21:57";"11360-250036602";"Fr., 31.10.25";"24";""
"Levantine SUAT SEKMEN";"Do., 30.10.25 21:55";"Do., 30.10.25";"21:55";"12048-250036601";"Fr., 31.10.25";"1";""
"Hotel Drei Raben Garni GmbH";"Do., 30.10.25 21:54";"Do., 30.10.25";"21:54";"10513-250036600";"Fr., 31.10.25";"13";""
"Restaurant Mylos";"Do., 30.10.25 21:51";"Do., 30.10.25";"21:51";"11495-250036599";"Fr., 31.10.25";"8";""
"CoDung Restaurant";"Do., 30.10.25 21:49";"Do., 30.10.25";"21:49";"11895-250036598";"Fr., 31.10.25";"13";""
"La Fum‘ee";"Do., 30.10.25 21:44";"Do., 30.10.25";"21:44";"13013-250036597";"Fr., 31.10.25";"5";""
"Restaurant ComPho 1966";"Do., 30.10.25 21:44";"Do., 30.10.25";"21:44";"11896-250036596";"Fr., 31.10.25";"9";""
"Hiro 11";"Do., 30.10.25 21:40";"Do., 30.10.25";"21:40";"11268-250036595";"Fr., 31.10.25";"3";""
"Hiro Sakao Fürth GmbH";"Do., 30.10.25 21:31";"Do., 30.10.25";"21:31";"10832-250036594";"Fr., 31.10.25";"16";""
"994 Ginza";"Do., 30.10.25 21:23";"Do., 30.10.25";"21:23";"10766-250036593";"Fr., 31.10.25";"8";""
"Maro Entertainment GmbH (Blu Bowl)";"Do., 30.10.25 21:21";"Do., 30.10.25";"21:21";"12204-250036592";"Fr., 31.10.25";"9";""
"Muu Korean Kitchen";"Do., 30.10.25 21:16";"Do., 30.10.25";"21:16";"13486-250036591";"Fr., 31.10.25";"4";""
"NaPizza Napoletana GbR Fürth";"Do., 30.10.25 21:10";"Do., 30.10.25";"21:10";"10436-250036590";"Fr., 31.10.25";"10";""
"Burgerheart Bamberg GmbH";"Do., 30.10.25 21:08";"Do., 30.10.25";"21:08";"11445-250036589";"Fr., 31.10.25";"8";""
"Nguyen & Pham GbR";"Do., 30.10.25 21:05";"Do., 30.10.25";"21:05";"10032-250036588";"Fr., 31.10.25";"13";""
"Mom Restaurant";"Do., 30.10.25 20:48";"Do., 30.10.25";"20:48";"13683-250036587";"Fr., 31.10.25";"4";""
"Lausbub GmbH";"Do., 30.10.25 20:45";"Do., 30.10.25";"20:45";"10549-250036586";"Fr., 31.10.25";"13";""
"CDC Gastro GmbH";"Do., 30.10.25 19:41";"Do., 30.10.25";"19:41";"12092-250036585";"Fr., 31.10.25";"9";""
"Dune Handel & Verwaltung GmbH (Heaven FKK-Club)";"Do., 30.10.25 19:40";"Do., 30.10.25";"19:40";"13082-250036584";"Fr., 31.10.25";"16";""
"Holuc-Eat & Meet GmbH";"Do., 30.10.25 19:21";"Do., 30.10.25";"19:21";"14019-250036583";"Mo., 03.11.25";"3";""
"Cafe Bar Markiz";"Do., 30.10.25 19:02";"Do., 30.10.25";"19:02";"10560-250036582";"Fr., 31.10.25";"11";""
"Holuc-Eat & Meet GmbH";"Do., 30.10.25 18:59";"Do., 30.10.25";"18:59";"14019-250036581";"Mo., 03.11.25";"1";""
"Pho Nürnberg";"Do., 30.10.25 18:51";"Do., 30.10.25";"18:51";"11804-250036580";"Fr., 31.10.25";"10";""
"Bruderherz GmbH";"Do., 30.10.25 18:06";"Do., 30.10.25";"18:06";"10767-250036579";"Fr., 31.10.25";"16";""
"FIVE Diner II";"Do., 30.10.25 18:06";"Do., 30.10.25";"18:06";"12318-250036578";"Fr., 31.10.25";"10";""
"FIVE Diner I";"Do., 30.10.25 18:05";"Do., 30.10.25";"18:05";"11060-250036577";"Fr., 31.10.25";"6";""
"Tante Betty GbR";"Do., 30.10.25 17:58";"Do., 30.10.25";"17:58";"13377-250036576";"Fr., 31.10.25";"8";""
"Moonee GmbH";"Do., 30.10.25 17:53";"Do., 30.10.25";"17:53";"11648-250036575";"Fr., 31.10.25";"15";""
"Bar Saigon";"Do., 30.10.25 17:39";"Do., 30.10.25";"17:39";"10041-250036574";"Fr., 31.10.25";"9";""
"Presente";"Do., 30.10.25 17:23";"Do., 30.10.25";"17:23";"12128-250036573";"Fr., 31.10.25";"1";""
"nm/48 Physiotherapie GmbH";"Do., 30.10.25 17:20";"Do., 30.10.25";"17:20";"12410-250036572";"Mo., 03.11.25";"1";""
"Zetra 2/3";"Do., 30.10.25 17:10";"Do., 30.10.25";"17:10";"13532-250036571";"Fr., 31.10.25";"6";""
"Carlton SPA Nürnberg GmbH";"Do., 30.10.25 17:10";"Do., 30.10.25";"17:10";"13043-250036570";"Fr., 31.10.25";"8";""
"Presente";"Do., 30.10.25 16:59";"Do., 30.10.25";"16:59";"12128-250036569";"Fr., 31.10.25";"15";""
"Firstclass Event & Hotel";"Do., 30.10.25 16:46";"Do., 30.10.25";"16:46";"11770-250036568";"Fr., 31.10.25";"4";""
"STULLEREI";"Do., 30.10.25 16:40";"Do., 30.10.25";"16:40";"13199-250036567";"Fr., 31.10.25";"3";""
"Die Küche GbR";"Do., 30.10.25 16:37";"Do., 30.10.25";"16:37";"12839-250036566";"Fr., 31.10.25";"4";""
"Holuc-Eat & Meet GmbH";"Do., 30.10.25 16:36";"Do., 30.10.25";"16:36";"14019-250036565";"Mo., 03.11.25";"2";""
"Premier Inn Hauptbahnhof  City Centre";"Do., 30.10.25 16:28";"Do., 30.10.25";"16:28";"10792-250036564";"Fr., 31.10.25";"11";""
"dasPaul Restaurant & Hotel";"Do., 30.10.25 16:11";"Do., 30.10.25";"16:11";"10134-250036563";"Fr., 31.10.25";"28";""
"Gate 23 GmbH";"Do., 30.10.25 15:29";"Do., 30.10.25";"15:29";"12738-250036562";"Fr., 31.10.25";"1";""
"Frankenfarm Direktvermarktungs GmbH";"Do., 30.10.25 15:23";"Do., 30.10.25";"15:23";"13168-250036561";"Do., 13.11.25";"2";""
"Henrietta Gastronomie GmbH";"Do., 30.10.25 15:14";"Do., 30.10.25";"15:14";"12841-250036560";"Fr., 31.10.25";"12";""
"globo Restaurant Nguyen & Kieu GbR";"Do., 30.10.25 15:01";"Do., 30.10.25";"15:01";"12975-250036559";"Fr., 31.10.25";"1";""
"Ludwigs Bar & Café";"Do., 30.10.25 14:57";"Do., 30.10.25";"14:57";"13263-250036558";"Fr., 31.10.25";"19";""
"Restobar Zoom";"Do., 30.10.25 14:55";"Do., 30.10.25";"14:55";"12389-250036557";"Fr., 31.10.25";"21";""
"globo Restaurant Nguyen & Kieu GbR";"Do., 30.10.25 14:44";"Do., 30.10.25";"14:44";"12975-250036556";"Fr., 31.10.25";"3";""
"Balazzo Brozzi";"Do., 30.10.25 14:33";"Do., 30.10.25";"14:33";"13648-250036555";"Fr., 31.10.25";"8";""
"Gregrory's Nürnberg  Josephsplatz 13";"Do., 30.10.25 14:03";"Do., 30.10.25";"14:03";"14038-250036554";"Fr., 31.10.25";"13";""
"Feser Scharf Automobile GmbH";"Do., 30.10.25 14:02";"Do., 30.10.25";"14:02";"12569-250036553";"Fr., 31.10.25";"1";""
"arsmedium AG";"Do., 30.10.25 13:57";"Do., 30.10.25";"13:57";"10895-250036552";"Mo., 03.11.25";"7";""
"Kiosk am Zollhaus";"Do., 30.10.25 13:56";"Do., 30.10.25";"13:56";"13162-250036551";"Fr., 31.10.25";"19";""
"Boxelware GmbH";"Do., 30.10.25 13:37";"Do., 30.10.25";"13:37";"13282-250036550";"Mo., 03.11.25";"8";""
"globo Restaurant Nguyen & Kieu GbR";"Do., 30.10.25 13:30";"Do., 30.10.25";"13:30";"12975-250036549";"Fr., 31.10.25";"3";""
"MQ Event Schiff GmbH";"Do., 30.10.25 13:26";"Do., 30.10.25";"13:26";"13716-250036548";"Fr., 31.10.25";"4";""
"Giannikis Gastronomie Delphi";"Do., 30.10.25 13:11";"Do., 30.10.25";"13:11";"10506-250036547";"Fr., 31.10.25";"14";""
"globo Restaurant Nguyen & Kieu GbR";"Do., 30.10.25 13:05";"Do., 30.10.25";"13:05";"12975-250036546";"Fr., 31.10.25";"1";""
"globo Restaurant Nguyen & Kieu GbR";"Do., 30.10.25 13:00";"Do., 30.10.25";"13:00";"12975-250036545";"Fr., 31.10.25";"3";""
"Sundays";"Do., 30.10.25 12:57";"Do., 30.10.25";"12:57";"11716-250036544";"Fr., 31.10.25";"4";""
"Café Herzkaffee";"Do., 30.10.25 12:52";"Do., 30.10.25";"12:52";"12021-250036543";"Fr., 31.10.25";"6";""
"Café Kraft GmbH";"Do., 30.10.25 12:34";"Do., 30.10.25";"12:34";"10590-250036542";"Fr., 31.10.25";"18";""
"Dr. Kreuzer Rechtsanwälte";"Do., 30.10.25 12:04";"Do., 30.10.25";"12:04";"10908-250036541";"Mo., 03.11.25";"2";""
"CITO-SYSTEM GmbH";"Do., 30.10.25 11:53";"Do., 30.10.25";"11:53";"12630-250036540";"Mo., 03.11.25";"2";""
"achtzehn97 Cafe - Weinbar";"Do., 30.10.25 11:47";"Do., 30.10.25";"11:47";"10420-250036539";"Fr., 31.10.25";"7";""
"Zollhof Betreiber GmbH";"Do., 30.10.25 11:42";"Do., 30.10.25";"11:42";"12936-250036538";"Fr., 31.10.25";"10";""
"ISO Software Systeme GmbH";"Do., 30.10.25 11:35";"Do., 30.10.25";"11:35";"10912-250036537";"Fr., 31.10.25";"4";""
"Bäcker Feihl - Lorenzer Straße";"Do., 30.10.25 11:34";"Do., 30.10.25";"11:34";"13775-250036536";"Di., 04.11.25";"12";""
"Exasol AG";"Do., 30.10.25 11:28";"Do., 30.10.25";"11:28";"13265-250036535";"Mo., 03.11.25";"12";""
"PrivatHotel Probst";"Do., 30.10.25 11:27";"Do., 30.10.25";"11:27";"10141-250036534";"Fr., 31.10.25";"11";""
"Bündnis 90 Die Grünen";"Do., 30.10.25 11:12";"Do., 30.10.25";"11:12";"13555-250036533";"Di., 04.11.25";"5";""
"Süss Dealer  Cafe - Brasserie";"Do., 30.10.25 11:08";"Do., 30.10.25";"11:08";"10485-250036532";"Fr., 31.10.25";"5";""
"HAUS 33 Entertainment GmbH";"Do., 30.10.25 11:06";"Do., 30.10.25";"11:06";"12703-250036531";"Fr., 31.10.25";"2";""
"Pizz & Via";"Do., 30.10.25 11:03";"Do., 30.10.25";"11:03";"12604-250036530";"Fr., 31.10.25";"2";""
"LeBar";"Do., 30.10.25 10:56";"Do., 30.10.25";"10:56";"10427-250036529";"Fr., 31.10.25";"46";""
"Pegnitz Wohn- und Grundverwaltung GmbH";"Do., 30.10.25 10:48";"Do., 30.10.25";"10:48";"12451-250036528";"Mo., 03.11.25";"1";""
"Fantasy Billardcafe";"Do., 30.10.25 10:36";"Do., 30.10.25";"10:36";"13192-250036527";"Fr., 31.10.25";"8";""
"Freiraum für Fankultur e.V., c/o Christian Gebhardt";"Do., 30.10.25 10:31";"Do., 30.10.25";"10:31";"11023-250036526";"Mi., 05.11.25";"9";""
"Food and Work GmbH  (Season Cafe)";"Do., 30.10.25 10:30";"Do., 30.10.25";"10:30";"12977-250036525";"Fr., 31.10.25";"12";""
"Kloster";"Do., 30.10.25 10:24";"Do., 30.10.25";"10:24";"10074-250036524";"Fr., 31.10.25";"3";""
"N-ERGIE Lichtblick";"Do., 30.10.25 10:10";"Do., 30.10.25";"10:10";"11576-250036523";"Di., 04.11.25";"10";""
"Exile Cafe Bar";"Do., 30.10.25 10:06";"Do., 30.10.25";"10:06";"10715-250036522";"Fr., 31.10.25";"27";""
"STULLEREI";"Do., 30.10.25 09:34";"Do., 30.10.25";"09:34";"13199-250036521";"Fr., 31.10.25";"9";""
"T.P.C GmbH (Restaurant Sakaya)";"Do., 30.10.25 08:53";"Do., 30.10.25";"08:53";"12565-250036520";"Mo., 03.11.25";"14";""
"ImmoW GmbH";"Do., 30.10.25 08:46";"Do., 30.10.25";"08:46";"10405-250036519";"Fr., 31.10.25";"1";""
"Hanori Fusion Küche";"Do., 30.10.25 07:52";"Do., 30.10.25";"07:52";"14056-250036518";"Fr., 31.10.25";"23";""
"Sumitomo (SHI) Demag Plastics Machinery GmbH / Anwendungstechnik";"Do., 30.10.25 07:09";"Do., 30.10.25";"07:09";"13032-250036517";"Mo., 03.11.25";"5";""
"Restaurant Dürrer Hase";"Do., 30.10.25 06:52";"Do., 30.10.25";"06:52";"10038-250036516";"Fr., 31.10.25";"8";""
"Weingut Göbel";"Do., 30.10.25 05:20";"Do., 30.10.25";"05:20";"11998-250036515";"Do., 06.11.25";"1";""
"Parkcafé Neumarkt";"Do., 30.10.25 04:47";"Do., 30.10.25";"04:47";"10744-250036514";"Do., 30.10.25";"15";""
"Bisha Caffe & Bar";"Do., 30.10.25 02:20";"Do., 30.10.25";"02:20";"13080-250036513";"Do., 30.10.25";"16";""
"Spielodrom Casino Gaming GmbH";"Do., 30.10.25 01:01";"Do., 30.10.25";"01:01";"11699-250036512";"Do., 30.10.25";"5";""
"Boteco";"Do., 30.10.25 00:52";"Do., 30.10.25";"00:52";"13025-250036511";"Do., 30.10.25";"16";""
"MQ Event Schiff GmbH";"Do., 30.10.25 00:23";"Do., 30.10.25";"00:23";"13716-250036510";"Do., 30.10.25";"8";""
"Mono Bar";"Do., 30.10.25 00:08";"Do., 30.10.25";"00:08";"10189-250036509";"Do., 30.10.25";"13";""
"ALE ORA Lounge";"Do., 30.10.25 00:06";"Do., 30.10.25";"00:06";"11535-250036508";"Do., 30.10.25";"31";""
"Levantine SUAT SEKMEN";"Do., 30.10.25 00:05";"Do., 30.10.25";"00:05";"12048-250036507";"Do., 30.10.25";"3";""
"Noris Event GmbH / FKK Palmas";"Mi., 29.10.25 23:43";"Mi., 29.10.25";"23:43";"11739-250036506";"Do., 30.10.25";"12";""
"Arsch & Friedrich - Nill & Rachele GbR";"Mi., 29.10.25 23:40";"Mi., 29.10.25";"23:40";"13374-250036505";"Do., 30.10.25";"14";""
"Bel Hana Gastro GmbH";"Mi., 29.10.25 23:23";"Mi., 29.10.25";"23:23";"13189-250036504";"Do., 30.10.25";"7";""
"Flair Ingolstadt";"Mi., 29.10.25 23:10";"Mi., 29.10.25";"23:10";"12725-250036503";"Do., 30.10.25";"22";""
"A Boire Nürnberg";"Mi., 29.10.25 23:06";"Mi., 29.10.25";"23:06";"12821-250036502";"Do., 30.10.25";"41";""
"Nguyen & Pham GbR";"Mi., 29.10.25 22:58";"Mi., 29.10.25";"22:58";"10158-250036501";"Fr., 31.10.25";"16";""
"El Nopal";"Mi., 29.10.25 22:45";"Mi., 29.10.25";"22:45";"13637-250036500";"Do., 30.10.25";"15";""
"Friends Bar Platon";"Mi., 29.10.25 22:36";"Mi., 29.10.25";"22:36";"11792-250036499";"Do., 30.10.25";"19";""
"Andalusischer Hund";"Mi., 29.10.25 22:21";"Mi., 29.10.25";"22:21";"13550-250036498";"Do., 30.10.25";"9";""
"Singh & Sons GbR Dana Pani - KU Depot";"Mi., 29.10.25 21:59";"Mi., 29.10.25";"21:59";"13010-250036497";"Do., 30.10.25";"7";""
"Singh & Sons Gbr";"Mi., 29.10.25 21:56";"Mi., 29.10.25";"21:56";"13015-250036496";"Do., 30.10.25";"10";""
"Galerie Ostermayr GmbH";"Mi., 29.10.25 21:53";"Mi., 29.10.25";"21:53";"13167-250036495";"Do., 30.10.25";"8";""
"Society Nürnberg GmbH";"Mi., 29.10.25 21:34";"Mi., 29.10.25";"21:34";"10169-250036494";"Do., 30.10.25";"59";""
"Quellkollektiv e.V.";"Mi., 29.10.25 21:31";"Mi., 29.10.25";"21:31";"13379-250036493";"Do., 30.10.25";"9";""
"Lubu Restaurant GmbH";"Mi., 29.10.25 21:28";"Mi., 29.10.25";"21:28";"10807-250036492";"Do., 30.10.25";"23";""
"Locanda Erlangen GmbH";"Mi., 29.10.25 21:19";"Mi., 29.10.25";"21:19";"11517-250036491";"Do., 30.10.25";"8";""
"SIHA Restaurant";"Mi., 29.10.25 21:07";"Mi., 29.10.25";"21:07";"13023-250036490";"Do., 30.10.25";"17";""
"Moon Restaurant";"Mi., 29.10.25 21:05";"Mi., 29.10.25";"21:05";"12140-250036489";"Do., 30.10.25";"14";""
"Nachtcafé";"Mi., 29.10.25 21:04";"Mi., 29.10.25";"21:04";"10024-250036488";"Do., 30.10.25";"62";""
"Altstädter Schießhaus GmbH";"Mi., 29.10.25 20:58";"Mi., 29.10.25";"20:58";"12427-250036487";"Do., 30.10.25";"9";""
"BALKON";"Mi., 29.10.25 20:57";"Mi., 29.10.25";"20:57";"10351-250036486";"Do., 30.10.25";"7";""
"o-sha Thairestaurant";"Mi., 29.10.25 20:46";"Mi., 29.10.25";"20:46";"12702-250036485";"Do., 30.10.25";"14";""
"Kater Murr - Café & Kneipe";"Mi., 29.10.25 20:34";"Mi., 29.10.25";"20:34";"13085-250036484";"Do., 30.10.25";"12";""
"Café Queens DD";"Mi., 29.10.25 20:24";"Mi., 29.10.25";"20:24";"12623-250036483";"Do., 30.10.25";"6";""
"OI";"Mi., 29.10.25 20:21";"Mi., 29.10.25";"20:21";"10408-250036482";"Do., 30.10.25";"4";""
"The Hummus Connection";"Mi., 29.10.25 19:46";"Mi., 29.10.25";"19:46";"12572-250036481";"Do., 30.10.25";"1";""
