name,group,spec,status
Alexander Wiesenegg,Standardgruppe,121 FAVORITEN,Zuletzt bestellt vor einem Jahr
Alexander der Große,Standardgruppe,35 FAVORITEN,Zuletzt bestellt vor einem Jahr
Alexandridis,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Ali,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Alight Consulting GmbH,Standardgruppe,5 FAVORITEN,Noch keine Bestellung seit 8 Monate
Alisha ft. Amara Shisha Bar,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
All Activity Group,Standardgruppe,50 FAVORITEN,Zuletzt bestellt vor 5 Monaten
All Stars Sportsbar,Standardgruppe,2 FAVORITEN,Noch keine Bestellung seit 3 Jahre
All in Media gbr,Standardgruppe,16 FAVORITEN,Zuletzt bestellt vor 8 Monaten
Allfinanz Deutsche Vermögensbe,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Allianz Private Krankenversicherungs AG,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 13.11.25)
Allianz Versicherung Christof,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Alltags Liebelei -- Am Flachmoor,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 8 Monate
Alltagsliebelei - Albrecht Dürer-Str.,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 8 Monate
Almdudler Limonade A. & S.,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Alois Dallmayr Automatenser-,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Alois Dallmayr Automatenser-,Standardgruppe,18 FAVORITEN,Einladung noch nicht angenommen
Alois Nürnberg GmbH,Standardgruppe,52 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Alpha Consult,Standardgruppe,11 FAVORITEN,Zuletzt bestellt vor 3 Monaten
Alstadtfreunde Nürnberg e.V.,Standardgruppe,1 FAVORITEN,Daten unvollständig
Alter Behring-Gutshof Event &,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Alter Ego,Standardgruppe,45 FAVORITEN,Zuletzt bestellt vor einem Monat
Altes Backhaus GbR Herzogenaurach,Standardgruppe,16 FAVORITEN,Zuletzt bestellt vor 6 Monaten
Altes Brathaus,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Altes Brathaus,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Altes Fortsthaus Betriebs- und,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Altstadtfreunde Nürnberg e.V.,Standardgruppe,6 FAVORITEN,Noch keine Bestellung seit ein Jahr
Altstadtfreunde Nürnberg e.V. Kulturscheune,Standardgruppe,20 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Altstadthotel Fürth,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 6 Monate
Altstädter Schießhaus GmbH,Standardgruppe,48 FAVORITEN,Zuletzt bestellt vor einem Tag
Am Hasnbuckl,Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor einem Monat
Amaya Ingolstadt,Donnerstag,59 FAVORITEN,Zuletzt bestellt vor 13 Tagen
Amazing Liquids GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Ambulantes BehandlungsCentrum,Standardgruppe,7 FAVORITEN,Zuletzt bestellt vor einem Monat
Ambulantes BehandlungsCentrum GmbH,Standardgruppe,2 FAVORITEN,Zuletzt bestellt vor 15 Tagen
Ambulantes BehandlungsCentrum im Nibelungenviertel,Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor einem Monat
Ambulantes BehandlungsCentrum in Thon,Standardgruppe,2 FAVORITEN,Zuletzt bestellt vor 4 Monaten
Ambulantes BehandlungsCentrum in der Welserstraße,Standardgruppe,3 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Amerigo Gastro u. Catering UG,Standardgruppe,155 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Amerigo KU-Depot,Standardgruppe,45 FAVORITEN,Zuletzt bestellt vor 4 Monaten
Amirak,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Amm,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Amt für Kultur & Freizeit,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Amt für Kultur & Freizeit - Kulturladen Gartenstadt,Standardgruppe,24 FAVORITEN,Zuletzt bestellt vor 5 Monaten
Amt für Kultur & Freizeit - KUF im Südpunkt,Standardgruppe,3 FAVORITEN,Noch keine Bestellung seit 7 Monate
AnChoi GmbH,Standardgruppe,88 FAVORITEN,Zuletzt bestellt vor 6 Tagen
Anclam,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Andalusischer Hund,Standardgruppe,95 FAVORITEN,Noch keine Bestellung seit 3 Monate
Andre Schütze,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Andreas Bauer,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Andreas Heidelberger,Dienstag,FAVORITEN HINZUFÜGEN,Daten unvollständig
Anis Chabbah,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Anja Ullmann,Standardgruppe,3 FAVORITEN,Noch keine Bestellung seit 6 Monate
Annemarie Girg,Standardgruppe,1 FAVORITEN,Zuletzt bestellt vor einem Monat
Anovica,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Antifa Mania,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 07.04.25)
Antipasteria Gualano,Standardgruppe,1 FAVORITEN,Noch keine Bestellung seit 2 Jahre
Anwer Saleh und Karzan Omar GbR,Standardgruppe,20 FAVORITEN,Zuletzt bestellt vor 6 Monaten
Apero GmbH,Standardgruppe,59 FAVORITEN,Zuletzt bestellt vor einem Tag
Apolena Zeman,Standardgruppe,4 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Apotheke im Village,Standardgruppe,11 FAVORITEN,Zuletzt bestellt vor einem Monat
Appiah,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Apsoto Bamberg GmbH,Standardgruppe,43 FAVORITEN,Keine Einladung erstellt (Erstellt am 28.11.25)
Arbeiter-Samariter-Bund KV Nür,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Archimedes Konzept GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Architekturbüro Scherzer,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Arena,Standardgruppe,50 FAVORITEN,Zuletzt bestellt vor 8 Monaten
Arizona Erlangen GmbH & Co. KG,Mittwoch,109 FAVORITEN,Zuletzt bestellt vor 3 Tagen
Arizona Erlangen GmbH & Co. KG - KU-Kd.-Nr. 2005113,Standardgruppe,12 FAVORITEN,Zuletzt bestellt vor 3 Tagen
Arizona Forchheim GmbH & Co.KG,Mittwoch,126 FAVORITEN,Zuletzt bestellt vor 3 Tagen
Armutcu,Standardgruppe,28 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Arndt,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Arndt Reckler,Standardgruppe,2 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Aroma Lounge Erlangen,Mittwoch,44 FAVORITEN,Zuletzt bestellt vor 20 Stunden
Arrow Central Europe GmbH,Standardgruppe,16 FAVORITEN,Zuletzt bestellt vor 20 Tagen
Arsch & Friedrich - Nill & Rachele GbR,Standardgruppe,39 FAVORITEN,Zuletzt bestellt vor einem Tag
Arslan,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Asia Restaurant UG,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Atelier Tim J. Hoffmann,Standardgruppe,26 FAVORITEN,Zuletzt bestellt vor 7 Tagen
Atlantik Döner,Standardgruppe,12 FAVORITEN,Keine Einladung erstellt (Erstellt am 19.12.24)
Atmos Bowling - Visioplex,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Atomis Events GmbH (Escape Game),Standardgruppe,7 FAVORITEN,Zuletzt bestellt vor einem Monat
Auckland Coffe & more,Standardgruppe,31 FAVORITEN,Zuletzt bestellt vor 8 Tagen
Audi Zentrum Nürnberg - Feser GmbH (Lena Bergmann),FESER GRAF,18 FAVORITEN,Zuletzt bestellt vor 10 Monaten
Audi Zentrum Nürnberg-Marienberg GmbH (Frau Pillipp),Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Aura Schwabach,Standardgruppe,71 FAVORITEN,Zuletzt bestellt vor einem Tag
Aureum,Standardgruppe,207 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Autentico – Natural FineFood,Dienstag,FAVORITEN HINZUFÜGEN,Daten unvollständig
Auto Service Feser GmbH (Frau Hablowetz),Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 3 Jahre
Auto Service Feser GmbH (Frau Rothkegel),Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 3 Jahre
Auto Service Feser GmbH (Sandra Graser),FESER GRAF,9 FAVORITEN,Zuletzt bestellt vor 6 Monaten
Auto Zentrum Feser Höchstadt,Standardgruppe,7 FAVORITEN,Zuletzt bestellt vor einem Jahr
Auto Zentrum Nürnberg - Feser GmbH ( Fr. Hablowetz),FESER GRAF,2 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Auto Zentrum Nürnberg - Feser GmbH (Fr. Mautzka),FESER GRAF,1 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Auto Zentrum Nürnberg - Feser GmbH (Fr. Weiß),FESER GRAF,4 FAVORITEN,Zuletzt bestellt vor einem Jahr
Auto Zentrum Nürnberg - Feser GmbH (Fr. Wittmann),FESER GRAF,17 FAVORITEN,Zuletzt bestellt vor einem Jahr
Auto Zentrum Nürnberg - Feser GmbH (Frau Rothkegel),FESER GRAF,10 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Auto Zentrum Nürnberg-Feser GmbH - Cupra City Store,Standardgruppe,17 FAVORITEN,Zuletzt bestellt vor einem Jahr
Auto-Scholz GmbH & Co. KG,Standardgruppe,15 FAVORITEN,Zuletzt bestellt vor einem Tag
Auto-Scholz GmbH & Co. KG - Aston Martin,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Autohaus Feser GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Autohaus Fröhlich GmbH,Standardgruppe,15 FAVORITEN,Zuletzt bestellt vor 6 Stunden
Autohaus Fröhlich GmbH,Standardgruppe,16 FAVORITEN,Zuletzt bestellt vor 14 Tagen
Autohaus Fröhlich GmbH,Standardgruppe,33 FAVORITEN,Zuletzt bestellt vor 18 Tagen
Autohaus Fröhlich GmbH Amberg,Standardgruppe,7 FAVORITEN,Zuletzt bestellt vor einem Monat
Autohaus Rieger GmbH,Dienstag,FAVORITEN HINZUFÜGEN,Daten unvollständig
Autohaus Road Star GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Autohaus Sperber GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Autohaus Staudt,Standardgruppe,7 FAVORITEN,Zuletzt bestellt vor 14 Tagen
Automaten Seitz Vertrieb &,Standardgruppe,9 FAVORITEN,Noch keine Bestellung seit 2 Jahre
Autonom24 GmbH,Standardgruppe,35 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Avantgarde Gesellschaft für,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Avenon Privat-Hotel Schwaig,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Avenon Privat-Hotel am Steinberg,Standardgruppe,61 FAVORITEN,Zuletzt bestellt vor 11 Tagen
Avnet Silica,Standardgruppe,6 FAVORITEN,Zuletzt bestellt vor 20 Tagen
Ayan,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Aylin Cafe Restaurant,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
B&A Gastronomie GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
B&A Gastronomie GmbH (Bahama Bar),Standardgruppe,13 FAVORITEN,Zuletzt bestellt vor 16 Tagen
B&A Gastronomie GmbH (Santos),Standardgruppe,23 FAVORITEN,Zuletzt bestellt vor 2 Tagen
B&D Textiles GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 2 Jahre
B&M Irish Pub GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
B&O Bau und Projekte GmbH,Standardgruppe,4 FAVORITEN,Zuletzt bestellt vor 10 Monaten
B-DF-BayreutherDenkfabrik UG(Haftungsbeschränkt) & Co.KG,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
B.Schuhmann Festzeltbetriebe,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 21.05.24)
B6 Gastroservice,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
BADMANUFAKTUR F.R.E.I. GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
BALKON,Standardgruppe,37 FAVORITEN,Zuletzt bestellt vor 6 Tagen
BAR CHIARA,Standardgruppe,127 FAVORITEN,Zuletzt bestellt vor einem Monat
BAR EUROPA,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
BAR9093,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 10 Monate
BARBERELLA'S,Standardgruppe,6 FAVORITEN,Zuletzt bestellt vor 2 Jahren
BASECOFFEE Bamberg GmbH,Basecoffee,36 FAVORITEN,Zuletzt bestellt vor 12 Tagen
BASECOFFEE Erlangen GmbH,Basecoffee,37 FAVORITEN,Zuletzt bestellt vor 9 Stunden
BASECOFFEE Nürnberg GmbH,Basecoffee,37 FAVORITEN,Zuletzt bestellt vor 5 Tagen
BASECOFFEE Würzburg GmbH,Basecoffee,35 FAVORITEN,Zuletzt bestellt vor 8 Stunden
BBBank eG,Standardgruppe,1 FAVORITEN,Einladung noch nicht angenommen
BERG Personalmanagement GmbH,Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor einem Monat
BG BAU - Berufsgenossenschaft der Bauwirtschaft,Standardgruppe,2 FAVORITEN,Einladung noch nicht angenommen
BGB-Ges. Christakos Christos/,Mittwoch,8 FAVORITEN,Zuletzt bestellt vor einem Monat
BIG BEN GmbH,Standardgruppe,134 FAVORITEN,Zuletzt bestellt vor 2 Jahren
BIONADE GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
BJW Hausverwaltung GmbH,Standardgruppe,8 FAVORITEN,Zuletzt bestellt vor 4 Tagen
BLAUESHAUSKAFFEE,Standardgruppe,8 FAVORITEN,Einladung noch nicht angenommen
BLOK,Standardgruppe,42 FAVORITEN,Zuletzt bestellt vor 6 Tagen
BNB GmbH,Standardgruppe,33 FAVORITEN,Keine Einladung erstellt (Erstellt am 17.11.25)
BNC Food&Catering UG (Mischbar),Standardgruppe,74 FAVORITEN,Zuletzt bestellt vor 12 Tagen
BRUTTOSHOP Online Supermarkt,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
BSC Sportgaststätte,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
BSC Sportgaststätte wg. KU,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
BStoked GmbH,Standardgruppe,10 FAVORITEN,Einladung noch nicht angenommen
BUNI Kultur- und Freizeittreff,Standardgruppe,48 FAVORITEN,Zuletzt bestellt vor 13 Tagen
BURGERILLA,Standardgruppe,13 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Baba‘s Döner by Massiv,Standardgruppe,11 FAVORITEN,Zuletzt bestellt vor 3 Monaten
Babylon Büro,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 8 Monate
Babylon Kino am Stadtpark,Standardgruppe,85 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Badebeats,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Badkap Gastronomie GmbH (Hawaii Inn SB Restaurant),Standardgruppe,67 FAVORITEN,Zuletzt bestellt vor 3 Monaten
